Representative_Sequence	total	A23.C0	CreativEruC00	CreativEruC02	CreativEruC03	CreativEruC06	CreativEruC08	CreativEruC10	CreativEruC12	CreativEruC14	CreativEruC16	CreativEruC19	CreativEruC21	CreativEruC23	CreativEruC25	CreativEruC27	CreativEruC29	CreativEruC31	CreativEru_A01	CreativEru_A07	CreativEru_A09	CreativEru_A10	CreativEru_A13	CreativEru_A18	CreativEru_Y04	CreativEru_Y07	CreativEru_Y10	CreativEru_Y13	CreativEru_Y16	CreativEru_Y19	CreativEru_Y23	Y27.CN2	
Mpick90	55	0	53	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick91	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick92	41	0	15	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	2	0	3	2	0	0	0	1	2	1	4
Mpick93	51	0	15	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	30	1	0	1	0	0	0	0	0	0	0	0	0	0
Mpick94	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick95	32	0	27	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick96	30	0	27	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick97	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick98	269	87	3	0	8	0	0	0	0	0	1	0	0	0	0	0	7	0	0	1	0	1	2	4	5	14	22	8	75	8	12	11
Mpick99	253	118	7	51	3	2	0	0	4	3	3	2	7	0	0	0	0	0	0	0	0	0	37	0	2	3	4	0	1	0	2	4
Mpick100	30	0	0	0	0	0	0	1	0	5	5	3	0	0	0	0	3	0	0	0	0	0	0	0	1	0	1	1	0	2	8	0
Mpick101	333	3	10	28	65	10	18	12	22	27	20	12	9	9	5	8	7	1	13	2	0	3	4	0	24	14	7	0	0	0	0	0
Mpick102	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	6	0	0	0	0	0	0	0	0
Mpick103	343	9	4	37	178	38	33	2	4	2	5	0	6	0	4	0	0	0	2	1	0	0	3	1	9	1	1	0	0	0	1	2
